Type,v,w
curve,5,-0.2014
curve,5,-0.19
curve,5,-0.19
curve,5,-0.19
curve,5,-0.19
curve,5,-0.19
curve,5,-0.19
curve,5,-0.19
curve,5,-0.19
curve,5,-0.19
curve,5,-0.19
curve,5,-0.19
curve,5,-0.19
curve,5,-0.19
curve,5,-0.19
curve,5,-0.19
curve,5,-0.19
curve,5,-0.19
curve,5,-0.1794
curve,5,-0.18
curve,5,-0.17470000000000002
curve,5,-0.16440000000000002
curve,5,-0.165
curve,5,-0.1597
curve,5,-0.1547
curve,5,-0.155
curve,5,-0.1497
curve,5,-0.1447
curve,5,-0.145
curve,5,-0.13970000000000002
curve,5,-0.14
curve,5,-0.14
curve,5,-0.13470000000000001
curve,5,-0.135
curve,5,-0.135
curve,5,-0.135
curve,5,-0.135
curve,5,-0.135
curve,5,-0.1297
curve,5,-0.13
curve,5,-0.13
curve,5,-0.13
curve,5,-0.1247
curve,5,-0.125
curve,5,-0.125
curve,5,-0.125
curve,5,-0.125
curve,5,-0.125
curve,5,-0.1197
curve,5,-0.12
curve,5,-0.12
curve,5,-0.12
curve,5,-0.11470000000000001
curve,5,-0.115
curve,5,-0.115
curve,5,-0.115
curve,5,-0.115
curve,5,-0.115
curve,5,-0.115
curve,5,-0.115
curve,5,-0.115
curve,5,-0.115
curve,5,-0.1097
curve,5,-0.11
curve,5,-0.11
curve,5,-0.11
curve,5,-0.11
curve,5,-0.11
curve,5,-0.11
curve,5,-0.11
curve,5,-0.11
curve,5,-0.1047
curve,5,-0.105
curve,5,-0.105
curve,5,-0.105
curve,5,-0.105
curve,5,-0.105
curve,5,-0.105
curve,5,-0.105
curve,5,-0.105
curve,5,-0.105
curve,5,-0.105
curve,5,-0.105
curve,5,-0.09970000000000001
curve,5,-0.1
curve,5,-0.1
curve,5,-0.1
curve,5,-0.1
curve,5,-0.1
curve,5,-0.1
curve,5,-0.1
curve,5,-0.1
curve,5,-0.1
curve,5,-0.0947
curve,5,-0.095
curve,5,-0.095
curve,5,-0.095
curve,5,-0.095
curve,5,-0.095
curve,5,-0.095
curve,5,-0.095
curve,5,-0.095
curve,5,-0.095
curve,5,-0.095
curve,5,-0.095
curve,5,-0.095
curve,5,-0.095
curve,5,-0.095
curve,5,-0.095
curve,5,-0.0897
curve,5,-0.09
curve,5,-0.09
curve,5,-0.09
curve,5,-0.09
curve,5,-0.09
curve,5,-0.09
curve,5,-0.09
curve,5,-0.09
curve,5,-0.09
curve,5,-0.09
curve,5,-0.09
curve,5,-0.09
curve,5,-0.09
curve,5,-0.08470000000000001
curve,5,-0.085
curve,5,-0.085
curve,5,-0.085
curve,5,-0.085
curve,5,-0.085
curve,5,-0.085
curve,5,-0.085
curve,5,-0.085
curve,5,-0.085
curve,5,-0.085
curve,5,-0.085
curve,5,-0.085
curve,5,-0.085
curve,5,-0.085
curve,5,-0.085
curve,5,-0.085
curve,5,-0.085
curve,5,-0.07970000000000001
curve,5,-0.08
curve,5,-0.08
curve,5,-0.08
curve,5,-0.08
curve,5,-0.08
curve,5,-0.08
curve,5,-0.08
curve,5,-0.08
curve,5,-0.08
curve,5,-0.08
curve,5,-0.08
curve,5,-0.08
curve,5,-0.08
curve,5,-0.08
curve,5,-0.0747
curve,5,-0.075
curve,5,-0.075
curve,5,-0.075
curve,5,-0.075
curve,5,-0.075
curve,5,-0.075
curve,5,-0.075
curve,5,-0.075
curve,5,-0.075
curve,5,-0.075
curve,5,-0.075
curve,5,-0.075
curve,5,-0.075
curve,5,-0.075
curve,5,-0.075
curve,5,-0.075
curve,5,-0.075
curve,5,-0.06970000000000001
curve,5,-0.07
curve,5,-0.07
curve,5,-0.07
curve,5,-0.07
curve,5,-0.07
curve,5,-0.07
curve,5,-0.07
curve,5,-0.07
curve,5,-0.07
curve,5,-0.07
curve,5,-0.07
curve,5,-0.06470000000000001
curve,5,-0.065
curve,5,-0.065
curve,5,-0.065
curve,5,-0.065
curve,5,-0.065
curve,5,-0.065
curve,5,-0.065
curve,5,-0.065
curve,5,-0.065
curve,5,-0.065
curve,5,-0.065
curve,5,-0.065
curve,5,-0.065
curve,5,-0.065
curve,5,-0.065
curve,5,-0.065
curve,5,-0.059699999999999996
curve,5,-0.06
curve,5,-0.06
curve,5,-0.06
curve,5,-0.06
curve,5,-0.06
curve,5,-0.06
curve,5,-0.06
curve,5,-0.06
curve,5,-0.06
curve,5,-0.0547
curve,5,-0.055
curve,5,-0.055
curve,5,-0.055
curve,5,-0.055
curve,5,-0.055
curve,5,-0.055
curve,5,-0.055
curve,5,-0.055
curve,5,-0.055
curve,5,-0.055
curve,5,-0.055
curve,5,-0.055
curve,5,-0.055
curve,5,-0.0497
curve,5,-0.05
curve,5,-0.05
curve,5,-0.05
curve,5,-0.05
curve,5,-0.05
curve,5,-0.05
curve,5,-0.05
curve,5,-0.05
curve,5,-0.05
curve,5,-0.0447
curve,5,-0.045
curve,5,-0.045
curve,5,-0.045
curve,5,-0.045
curve,5,-0.045
curve,5,-0.045
curve,5,-0.045
curve,5,-0.045
curve,5,-0.045
curve,5,-0.0397
curve,5,-0.04
curve,5,-0.04
curve,5,-0.04
curve,5,-0.04
curve,5,-0.04
curve,5,-0.04
curve,5,-0.04
curve,5,-0.0347
curve,5,-0.035
curve,5,-0.035
curve,5,-0.035
curve,5,-0.035
curve,5,-0.035
curve,5,-0.035
curve,5,-0.035
curve,5,-0.035
curve,5,-0.035
curve,5,-0.035
curve,5,-0.029699999999999997
curve,5,-0.03
curve,5,-0.03
curve,5,-0.03
curve,5,-0.03
curve,5,-0.03
curve,5,-0.03
curve,5,-0.03
curve,5,-0.0247
curve,5,-0.025
curve,5,-0.025
curve,5,-0.025
curve,5,-0.025
curve,5,-0.025
curve,5,-0.025
curve,5,-0.025
curve,5,-0.025
curve,5,-0.025
curve,5,-0.0197
curve,5,-0.02
curve,5,-0.02
curve,5,-0.02
curve,5,-0.02
curve,5,-0.02
curve,5,-0.02
curve,5,-0.02
curve,5,-0.02
curve,5,-0.0147
curve,5,-0.015
curve,5,-0.015
curve,5,-0.015
curve,5,-0.015
curve,5,-0.015
curve,5,-0.015
curve,5,-0.015
curve,5,-0.015
curve,5,-0.015
curve,5,-0.0097
curve,5,-0.01
curve,5,-0.01
curve,5,-0.01
curve,5,-0.01
curve,5,-0.01
curve,5,-0.01
curve,5,-0.01
curve,5,-0.0047
curve,5,-0.005
curve,5,-0.005
curve,5,-0.005
curve,5,-0.005
curve,5,-0.005
curve,5,-0.005
curve,5,-0.005
curve,5,-0.005
curve,5,-0.005
curve,5,0.0003
curve,5,-0.0
curve,5,-0.0
curve,5,-0.0
curve,5,-0.0
curve,5,-0.0
curve,5,-0.0
curve,5,-0.0
curve,5,-0.0
curve,5,-0.0
curve,5,0.0053
curve,5,0.005
curve,5,0.005
curve,5,0.005
curve,5,0.005
curve,5,0.005
curve,5,0.005
curve,5,0.005
curve,5,0.005
curve,5,0.005
curve,5,0.005
curve,5,0.005
curve,5,0.005
curve,5,0.005
curve,5,0.005
curve,5,0.0103
curve,5,0.01
curve,5,0.01
curve,5,0.01
straight,13,0.0054
straight,13,0.0054
curve,5,0.01
curve,5,0.01
straight,13,0.00835
straight,13,0.0081
curve,5,0.015
curve,5,0.015
straight,13,0.01105
straight,13,0.0108
straight,13,0.0108
straight,13,0.0108
straight,13,0.013750000000000002
straight,13,0.013500000000000002
straight,13,0.013500000000000002
straight,13,0.01645
straight,13,0.0162
straight,13,0.01915
straight,13,0.0189
straight,13,0.02185
straight,13,0.0216
straight,13,0.0216
straight,13,0.0216
straight,13,0.024550000000000002
straight,13,0.024300000000000002
straight,13,0.024300000000000002
straight,13,0.024300000000000002
straight,13,0.027250000000000003
straight,13,0.027000000000000003
straight,13,0.02995
straight,13,0.0297
straight,13,0.0297
straight,13,0.0297
straight,13,0.0297
straight,13,0.0297
curve,5,0.0603
curve,5,0.06
straight,13,0.0324
straight,13,0.0324
curve,5,0.06
curve,5,0.06
curve,5,0.06
curve,5,0.06
curve,5,0.06
curve,5,0.06
curve,5,0.06
curve,5,0.06
curve,5,0.06
curve,5,0.06
curve,5,0.06
curve,5,0.06
curve,5,0.06
curve,5,0.06
curve,5,0.06
curve,5,0.06
curve,5,0.06
curve,5,0.06
curve,5,0.0547
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.055
curve,5,0.0497
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.05
curve,5,0.0447
